generation,best_fitness,run_id,experiment
34,151.486798679868,Simultaneous_Proposed_trial_0,phase2_ablation
35,180.84171498442,Simultaneous_Proposed_trial_0,phase2_ablation
36,180.84171498442,Simultaneous_Proposed_trial_0,phase2_ablation
37,180.84171498442,Simultaneous_Proposed_trial_0,phase2_ablation
38,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
39,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
40,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
41,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
42,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
43,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
44,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
45,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
46,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
47,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
48,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
49,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
50,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
51,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
52,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
53,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
54,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
55,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
56,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
57,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
58,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
59,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
60,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
61,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
62,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
63,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
64,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
65,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
66,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
67,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
68,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
69,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
70,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
71,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
72,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
73,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
74,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
75,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
76,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
77,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
78,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
79,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
80,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
81,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
82,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
83,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
84,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
85,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
86,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
87,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
88,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
89,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
90,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
91,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
92,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
93,187.00667446936384,Simultaneous_Proposed_trial_0,phase2_ablation
94,214.4711399932563,Simultaneous_Proposed_trial_0,phase2_ablation
95,214.4711399932563,Simultaneous_Proposed_trial_0,phase2_ablation
96,214.4711399932563,Simultaneous_Proposed_trial_0,phase2_ablation
97,214.4711399932563,Simultaneous_Proposed_trial_0,phase2_ablation
98,214.4711399932563,Simultaneous_Proposed_trial_0,phase2_ablation
